id,category,q,a
bill_001,Billing,Why has my monthly bill increased compared to last month?,Monthly bill increases can be due to: 1) Additional data usage beyond plan limits 2) New premium service subscriptions 3) One-time activation or service charges 4) Plan upgrade. You can review detailed usage breakdown in your account portal under 'Billing' section.
bill_002,Billing,What discounts are available on your plans?,We offer the following discounts: 1) New customer discount: 10-15% on first 3 months 2) Plan switch discount: 15-30% based on current plan 3) Loyalty discount: Additional 5% for customers above 2 years 4) Seasonal offers: Available during promotional periods. Check your account portal for personalized offers eligible for your profile.
bill_003,Billing,I made a payment 3 days ago but it still shows as pending. How long does payment processing take?,Standard payment processing time is 24-48 hours. If payment shows pending after 48 hours: 1) Verify transaction reference number from your confirmation email 2) Check payment method and amount 3) Confirm transaction wasn't declined by your bank. Provide transaction ID and we will verify status immediately.
bill_004,Billing,My bill shows data usage that seems higher than what I actually used. How can I verify this?,Data usage is recorded in real-time by our billing system. Common reasons for apparent discrepancies: 1) Background app updates and syncing consume data 2) Cloud storage automatic backups 3) Social media cached data 4) Device software updates. Check device settings > Apps > Data Usage to compare with our records. We can provide detailed hour-by-hour usage breakdown.
bill_005,Billing,Can I view my billing history and past invoices?,"Yes, you can access your complete billing history: 1) Login to your account portal 2) Go to 'Billing' section 3) Select 'View Invoices' 4) Download or email past 24 months of bills. You can also subscribe to automatic email delivery of monthly invoices."
net_001,Network,Why is my internet speed slower than usual?,"Network speed variations can be caused by: 1) Peak usage hours (typically 7-10 PM) 2) Device storage full or RAM issues 3) Signal strength - move closer to window/tower 4) WiFi interference if using WiFi 5) Outdated device. Troubleshooting: Restart device, clear cache, check signal bars (4-5 bars required), test speed at different location."
net_002,Network,I have no signal in my area. Is there a network outage?,If you have no signal: 1) Check if airplane mode is enabled 2) Restart your device 3) Check signal bars in Settings 4) Move to open area away from buildings 5) Check our network status page for outages in your postal code. Please provide your location/postal code and we can check for planned maintenance or network issues affecting your area.
net_003,Network,My data connection is slow but my calls work fine. Are these issues related?,"Data and calling use different network technologies. Data uses LTE/5G while calling uses Circuit Switched network, so they are independent. If only data is slow: 1) Check network type (3G/4G/5G) in settings 2) Toggle WiFi off if connected 3) Restart device 4) Move closer to tower. Slow data doesn't affect call quality."
net_004,Network,The signal bars show 4G but my speeds are very slow. Why?,"4G signal availability doesn't guarantee 4G speeds. Factors affecting speed: 1) Distance from cell tower - farther distance = slower speed 2) Network congestion during peak hours 3) Device limitations - older devices may not support full 4G capacity 4) Interference from buildings. Signal bars show availability, not speed capacity. Move closer to tower or use WiFi for better speeds."
net_005,Network,What should I do if I lose network connection during a call?,"If network drops during call: 1) It's usually temporary - signal will reconnect automatically 2) If at cell tower boundary, move to location with stronger signal 3) Check if you're moving between WiFi and mobile network 4) Ensure sufficient balance/active plan. Frequent drops indicate: device issue, weak signal area, or plan expiration. Test connection in different locations."
plan_001,Plans,Which plan is best suited for my usage needs?,"To recommend the right plan, we need to know: 1) How much data do you use monthly (in GB) 2) How many minutes of calling do you need 3) Do you need international calling 4) Any special requirements (priority network, rollover). Based on 20GB monthly data usage, we recommend: Premium Data Plan (₹699/month with rollover) or Unlimited Plan (₹899/month with priority network). Compare details in portal."
plan_002,Plans,I recharged 2 hours ago but my service is still not active. What should I do?,"Recharge activation typically takes 2-5 minutes. If service still inactive after 2 hours: 1) Restart your device 2) Check SMS confirmation of successful recharge 3) Verify transaction receipt shows your phone number and recharge amount 4) Check available balance in your account. If all correct, provide transaction ID and we will manually activate within 30 minutes."
plan_003,Plans,Does my plan include international calling and what are the charges?,"International calling availability depends on your plan: 1) Basic Plans: No international calling included, charges apply 2) Premium Plans: International calling to 50+ countries included, but some destinations have additional charges 3) USA/UK calling has standard charges of ₹1.50/min. To enable free USA calling, upgrade to Premium International Plan (₹99/month addon). Check portal for complete list of included countries."
plan_004,Plans,What happens to my unused data if I don't use it all in a month?,Data rollover policy: 1) Unused data rolls over to next month automatically 2) Rollover validity is 1 month (expires at end of next month) 3) Only unused data above 1GB threshold rolls over on select plans 4) Data from previous rollovers doesn't roll over again. Check your plan terms for specific rollover percentage. Monitor your 'Available Data' in account app to track rollover data.
plan_005,Plans,I have an old plan from several years ago. What happens if I switch to a new plan?,"Important: Legacy plans cannot be reactivated once you switch. Before changing: 1) Note down all benefits of your current plan 2) Compare with new plans thoroughly 3) Check if you'll lose any special rates or benefits 4) Confirm new plan has better benefits. We cannot revert to old plans retroactively. Once changed, you get new plan's benefits only. Ensure new plan meets all your needs before switching."
tech_001,Technical,The mobile app crashes when I try to open it. How can I fix this?,App crashes can usually be resolved with these steps: 1) Update to latest version from Play Store (Android) or App Store (iOS) 2) Clear app cache: Settings > Apps > [Our App] > Storage > Clear Cache 3) Clear app data if cache doesn't work 4) Restart your device 5) Reinstall app if issue persists. Ensure you have latest OS version. Note your plan details before uninstalling.
tech_002,Technical,I forgot my account password and cannot login. How do I reset it?,"To reset your password: 1) On login screen, click 'Forgot Password' 2) Verify your identity using OTP sent to registered mobile number 3) Create a new password 4) Login with new credentials. If you don't receive OTP: Check phone number is current and active, wait 2 minutes, request new OTP. For security reasons, we verify via OTP only. If account is compromised, call support immediately."
tech_003,Technical,The app works on my phone but not on my tablet. What's the issue?,"If app works on phone but not tablet, it's likely device-specific: 1) Check minimum OS requirement (e.g., iOS 12.0+, Android 6.0+) 2) Restart tablet 3) Check available storage space (needs minimum 100MB free) 4) Clear tablet cache and browser data 5) Logout and login again. If using browser on tablet, clear Safari/Chrome cache. Device compatibility is different from network issues."
tech_004,Technical,I'm getting an error code in the app. What does it mean and how do I fix it?,"Common error codes and fixes: Error 404 - Server unreachable (check internet, retry later), Error 500 - Server error (try after few minutes), Error 401 - Authentication failed (logout and login again), Error 403 - Access denied (check if plan is active). For any error: 1) Check internet connection 2) Restart device 3) Clear app cache 4) Update app to latest version. If error persists, provide error code, device type, app version, and describe action when error occurred."
tech_005,Technical,I have an older device. Will I be able to use your latest app and get updates?,"App compatibility depends on device OS version: 1) Latest app requires Android 7.0+ or iOS 12.0+ 2) Check your device's current OS in Settings 3) Update OS if available for your device model 4) We support devices up to 7 years old. If your device cannot be updated, you can use our web portal instead. Older OS versions may have limited features but core functions work."
cs_001,Customer Service,I had a bad experience with customer service. How do I lodge a complaint?,"To lodge a formal complaint: 1) Contact our escalation team directly 2) Provide call reference number (available in call logs) 3) Mention agent name if remembered 4) Describe the issue and date/time of interaction 5) State desired resolution. Complaints are reviewed within 48 hours. You'll receive acknowledgment via SMS/email with reference number. For serious issues, ask for supervisor review during call."
